Date and time,Temperature,Humidity
10/20/2023 0:29:07,31.80,78
10/20/2023 0:29:31,31.70,76.6
10/20/2023 0:29:54,31.40,77.4
10/20/2023 0:30:17,31.70,79.1
10/20/2023 0:30:40,31.70,77
10/20/2023 0:31:03,31.70,77
10/20/2023 0:31:27,31.70,77.9
10/20/2023 0:31:50,31.80,78
10/20/2023 0:32:13,31.70,77.8
10/20/2023 0:32:37,31.80,77
10/20/2023 0:33:00,31.80,77
10/20/2023 0:33:23,31.80,77
10/20/2023 0:33:45,31.70,77.6
10/20/2023 0:34:09,31.70,78.8
10/20/2023 0:34:32,31.70,77.6
10/20/2023 0:34:55,31.70,78.3
10/20/2023 0:35:19,31.70,77
10/20/2023 0:35:42,31.70,77.6
10/20/2023 0:36:05,31.70,77.6
10/20/2023 0:36:29,31.60,79.4
10/20/2023 0:36:53,31.20,77.8
10/20/2023 0:37:16,31.70,77.8
10/20/2023 0:37:39,31.70,80.3
10/20/2023 0:38:02,31.80,78.2
10/20/2023 0:38:25,31.40,77.4
10/20/2023 0:38:48,31.60,77.9
10/20/2023 0:39:11,31.20,73.6
10/20/2023 0:39:35,31.40,76.1
10/20/2023 0:39:58,31.80,77
10/20/2023 0:40:22,31.60,77.9
10/20/2023 0:40:45,31.70,78.3
10/20/2023 0:41:08,31.70,80.1
10/20/2023 0:41:31,31.80,78.2
10/20/2023 0:41:53,31.50,68.1
10/20/2023 0:42:16,31.60,77.2
10/20/2023 0:42:39,31.60,77.6
10/20/2023 0:43:02,31.60,77.4
10/20/2023 0:43:25,31.40,77.4
10/20/2023 0:43:48,31.30,78
10/20/2023 0:44:11,31.30,78.4
10/20/2023 0:44:34,31.30,77.1
10/20/2023 0:44:56,31.30,78.5
10/20/2023 0:45:19,31.30,78.5
10/20/2023 0:45:43,31.30,78.4
10/20/2023 0:46:06,31.30,78.7
10/20/2023 0:46:30,31.30,78.4
10/20/2023 0:46:53,31.30,78.9
10/20/2023 0:47:16,31.40,78.4
10/20/2023 0:47:39,31.40,78.4
10/20/2023 0:48:02,31.40,78.4
10/20/2023 0:48:25,31.30,78.4
10/20/2023 0:48:48,31.30,78.4
10/20/2023 0:49:11,31.30,78.2
10/20/2023 0:49:33,31.30,78.5
10/20/2023 0:49:56,31.20,78.6
10/20/2023 0:50:19,31.20,78.5
10/20/2023 0:50:42,31.30,79
10/20/2023 0:51:07,31.20,79.3
10/20/2023 0:51:30,31.20,79
10/20/2023 0:51:53,31.20,78.5
10/20/2023 0:52:16,31.30,79
10/20/2023 0:52:39,31.30,78.9
10/20/2023 0:53:02,31.30,78.7
10/20/2023 0:53:25,31.30,79
10/20/2023 0:53:48,31.30,78.4
10/20/2023 0:54:11,31.30,78.5
10/20/2023 0:54:34,31.30,78.4
10/20/2023 0:54:57,31.30,78.5
10/20/2023 0:55:20,31.40,78.5
10/20/2023 0:55:43,31.40,78.4
10/20/2023 0:56:06,31.50,78.3
10/20/2023 0:56:29,31.50,78.1
10/20/2023 0:56:52,31.60,77.8
10/20/2023 0:57:15,31.60,77.8
10/20/2023 0:57:38,31.60,77.4
10/20/2023 0:58:02,31.50,77.4
10/20/2023 0:58:25,31.40,77.7
10/20/2023 0:58:48,31.40,77.9
10/20/2023 0:59:11,31.40,78
10/20/2023 0:59:34,31.30,78
10/20/2023 0:59:57,31.30,78
10/20/2023 1:00:21,31.20,84.9
10/20/2023 1:00:44,31.10,78.5
10/20/2023 1:01:07,31.20,78.5
10/20/2023 1:01:30,31.20,79
10/20/2023 1:01:53,31.20,78.6
10/20/2023 1:02:17,31.20,79
10/20/2023 1:02:40,31.30,78.7
10/20/2023 1:03:04,31.30,78.9
10/20/2023 1:03:27,31.30,78.5
10/20/2023 1:03:50,31.00,78.3
10/20/2023 1:04:13,31.00,78.5
10/20/2023 1:04:36,30.90,78.9
10/20/2023 1:04:59,30.80,79.2
10/20/2023 1:05:22,30.70,79.7
10/20/2023 1:05:45,30.60,79.5
10/20/2023 1:06:09,30.60,79.8
10/20/2023 1:06:32,30.60,79.8
10/20/2023 1:06:55,30.50,80
10/20/2023 1:07:18,30.60,80
10/20/2023 1:07:41,30.60,80
10/20/2023 1:08:04,30.60,80.2
10/20/2023 1:08:27,30.60,80.2
10/20/2023 1:08:50,30.50,80
10/20/2023 1:09:13,30.60,80.2
10/20/2023 1:09:36,30.60,80.3
10/20/2023 1:09:59,30.60,80.5
10/20/2023 1:10:22,30.60,80.3
10/20/2023 1:10:45,30.60,80.3
10/20/2023 1:11:08,30.60,80.5
10/20/2023 1:11:31,30.60,78.7
10/20/2023 1:11:54,30.60,80.3
10/20/2023 1:12:17,30.60,80.3
10/20/2023 1:12:40,30.60,80.3
10/20/2023 1:13:03,30.60,80.2
10/20/2023 1:13:26,30.50,80.3
10/20/2023 1:13:49,30.70,80.5
10/20/2023 1:14:12,30.60,80.3
10/20/2023 1:14:35,30.60,80.2
10/20/2023 1:14:58,30.60,78.7
10/20/2023 1:15:21,30.60,80.3
10/20/2023 1:15:44,30.60,80.3
10/20/2023 1:16:07,30.60,80.2
10/20/2023 1:16:30,30.60,80.2
10/20/2023 1:16:53,30.60,80.2
10/20/2023 1:17:16,30.60,80.2
10/20/2023 1:17:39,30.60,79
10/20/2023 1:18:02,30.60,80
10/20/2023 1:18:25,30.60,80.3
10/20/2023 1:18:48,30.60,80.2
10/20/2023 1:19:11,30.50,80.5
10/20/2023 1:19:34,30.60,80.5
10/20/2023 1:19:57,30.50,80.2
10/20/2023 1:20:20,30.60,80.2
10/20/2023 1:20:43,30.60,80.2
10/20/2023 1:21:06,30.50,80.3
10/20/2023 1:21:29,30.60,80.2
10/20/2023 1:21:53,30.60,80.3
10/20/2023 1:22:15,30.60,80.2
10/20/2023 1:22:38,30.60,80.3
10/20/2023 1:23:01,30.60,80.2
10/20/2023 1:23:24,30.60,80
10/20/2023 1:23:47,30.60,80.2
10/20/2023 1:24:10,30.60,80.2
10/20/2023 1:24:33,30.50,80.2
10/20/2023 1:24:56,30.50,80.2
10/20/2023 1:25:19,30.60,80
10/20/2023 1:25:42,30.60,79.8
10/20/2023 1:26:05,30.60,80.5
10/20/2023 1:26:29,30.60,80.2
10/20/2023 1:26:51,30.60,80.2
10/20/2023 1:27:15,30.60,80.2
10/20/2023 1:27:38,30.70,80.2
10/20/2023 1:28:01,30.60,80
10/20/2023 1:28:24,30.60,80.2
10/20/2023 1:28:48,30.40,80.1
10/20/2023 1:29:11,30.60,80.2
10/20/2023 1:29:34,30.50,80
10/20/2023 1:29:56,30.50,80.3
10/20/2023 1:30:20,30.60,80
10/20/2023 1:30:43,30.60,80
10/20/2023 1:31:06,30.50,80.2
10/20/2023 1:31:29,30.60,80
10/20/2023 1:31:53,30.60,80
10/20/2023 1:32:15,30.50,80
10/20/2023 1:32:39,30.50,80
10/20/2023 1:33:01,30.60,80
10/20/2023 1:33:24,30.60,79.8
10/20/2023 1:33:47,30.60,80.2
10/20/2023 1:34:10,30.60,80
10/20/2023 1:34:34,30.60,79.5
10/20/2023 1:34:57,30.60,80
10/20/2023 1:35:19,30.50,80
10/20/2023 1:35:42,30.60,79.8
10/20/2023 1:36:05,30.60,79.8
10/20/2023 1:36:29,30.60,81.5
10/20/2023 1:36:52,30.60,80
10/20/2023 1:37:15,30.60,80.3
10/20/2023 1:37:37,30.60,80
10/20/2023 1:38:00,30.70,79.3
10/20/2023 1:38:23,30.80,79.7
10/20/2023 1:38:46,30.80,79.7
10/20/2023 1:39:09,30.90,79.6
10/20/2023 1:39:33,30.90,79.4
10/20/2023 1:39:56,30.90,79.7
10/20/2023 1:40:19,31.00,78.5
10/20/2023 1:40:42,31.00,79.6
10/20/2023 1:41:05,31.00,79.1
10/20/2023 1:44:21,30.50,69.7
10/20/2023 1:44:44,30.50,79.5
10/20/2023 1:45:08,30.60,80.2
10/20/2023 1:45:31,30.70,80.2
10/20/2023 1:45:54,30.60,80
10/20/2023 1:46:17,30.50,80.2
10/20/2023 1:46:40,30.40,80.3
10/20/2023 1:47:03,30.50,80.2
10/20/2023 1:47:26,30.40,74.8
10/20/2023 1:47:50,30.40,81.9
10/20/2023 1:48:13,30.40,80.3
10/20/2023 1:48:36,30.40,80.6
10/20/2023 1:48:59,30.40,80.6
10/20/2023 1:49:25,30.40,80.6
10/20/2023 1:49:48,30.40,80.6
10/20/2023 1:50:11,30.40,80.4
10/20/2023 1:50:34,30.40,80.6
10/20/2023 1:50:57,30.30,80.6
10/20/2023 1:51:21,30.40,80.6
10/20/2023 1:51:44,30.40,80.8
10/20/2023 1:52:06,30.40,80.8
10/20/2023 1:52:29,30.40,80.6
10/20/2023 1:52:53,30.40,80.6
10/20/2023 1:53:15,30.40,80.6
10/20/2023 1:53:38,30.40,80.6
10/20/2023 1:54:01,30.40,80.6
10/20/2023 1:54:25,30.40,80.6
10/20/2023 1:54:48,30.40,80.6
10/20/2023 1:55:11,30.40,80.6
10/20/2023 1:55:35,30.50,92.2
10/20/2023 1:55:58,30.40,80.6
10/20/2023 1:56:22,30.40,80.8
10/20/2023 1:56:45,30.40,80.6
10/20/2023 1:57:08,30.40,80.4
10/20/2023 1:57:31,30.40,80.6
10/20/2023 1:57:54,30.40,81.6
10/20/2023 1:58:17,30.40,80.4
10/20/2023 1:58:40,30.50,81.5
10/20/2023 1:59:04,30.50,80.3
10/20/2023 1:59:27,30.50,80
10/20/2023 1:59:50,30.50,80.3
10/20/2023 2:00:14,30.50,80.2
10/20/2023 2:00:37,30.40,80.4
10/20/2023 2:01:03,30.50,80.3
10/20/2023 2:01:28,30.50,80.2
10/20/2023 2:01:51,30.40,80.4
10/20/2023 2:02:14,30.40,80.4
10/20/2023 2:02:37,30.40,80.4
10/20/2023 2:03:01,30.40,80.6
10/20/2023 2:03:24,30.40,80.8
10/20/2023 2:03:47,30.50,80.5
10/20/2023 2:04:10,30.40,80.4
10/20/2023 2:04:32,30.40,80.6
10/20/2023 2:04:56,30.40,80.4
10/20/2023 2:05:19,30.60,80.5
10/20/2023 2:05:42,30.40,80.6
10/20/2023 2:06:05,30.30,80.4
10/20/2023 2:06:27,30.40,80.4
10/20/2023 2:06:50,30.40,80.6
10/20/2023 2:07:13,30.40,80.6
10/20/2023 2:07:36,30.40,80.3
10/20/2023 2:08:00,30.50,80.5
10/20/2023 2:08:23,30.40,80.3
10/20/2023 2:08:46,30.50,80.3
10/20/2023 2:09:09,30.50,81.5
10/20/2023 2:09:33,30.50,80.3
10/20/2023 2:09:56,30.40,80.3
10/20/2023 2:10:19,30.40,80.6
10/20/2023 2:10:42,30.40,80.4
10/20/2023 2:11:05,30.40,80.3
10/20/2023 2:11:38,30.50,80.2
10/20/2023 2:12:01,30.50,74.7
10/20/2023 2:12:36,30.50,80
10/20/2023 2:12:59,30.50,80.2
10/20/2023 2:13:22,30.30,80.4
10/20/2023 2:13:45,30.30,80.3
10/20/2023 10:36:57,29.80,69.7
10/20/2023 10:37:20,29.70,81.6
10/20/2023 10:37:44,30.00,80.5
10/20/2023 10:38:07,30.20,81.4
10/20/2023 10:38:30,30.20,81.4
10/20/2023 10:38:53,30.30,80.6
10/20/2023 10:39:17,30.40,80.3
10/20/2023 10:39:40,30.40,80.9
10/20/2023 10:40:04,30.70,78.7
10/20/2023 10:40:26,30.50,80.7
10/20/2023 10:40:50,30.10,78.9
10/20/2023 10:41:13,30.50,78.7
10/20/2023 10:41:36,30.60,78.7
10/20/2023 10:41:59,30.70,78.7
10/20/2023 10:42:22,30.50,78.3
10/20/2023 10:42:45,30.70,78.8
10/20/2023 10:43:09,30.60,78.7
10/20/2023 10:43:32,30.10,78.2
10/20/2023 10:43:55,30.70,79.5
10/20/2023 10:44:18,30.70,77.8
10/20/2023 10:44:41,30.70,78
10/20/2023 10:45:04,30.80,76.3
10/20/2023 10:45:27,30.70,79.2
10/20/2023 10:45:50,30.60,77.7
10/20/2023 10:46:13,30.90,77.3
10/20/2023 10:46:36,30.80,77.6
10/20/2023 10:46:59,30.80,77.9
10/20/2023 10:47:23,30.80,79.6
10/20/2023 10:47:46,30.80,76.3
10/20/2023 10:48:09,30.60,77
10/20/2023 10:48:32,30.70,78
10/20/2023 10:48:55,30.80,77.2
10/20/2023 10:49:18,30.70,78.7
10/20/2023 10:49:41,30.70,78
10/20/2023 10:50:04,30.80,76.6
10/20/2023 10:50:27,30.40,76.8
10/20/2023 10:50:50,30.80,76.3
10/20/2023 10:51:12,30.80,78.2
10/20/2023 10:51:36,30.90,76.6
10/20/2023 10:51:59,30.80,77.9
10/20/2023 10:52:21,30.80,76.5
10/20/2023 10:52:45,31.00,76.8
10/20/2023 10:53:07,30.80,76.9
10/20/2023 10:53:30,30.90,76.3
10/20/2023 10:53:53,30.60,76.4
10/20/2023 10:54:17,30.60,76.4
10/20/2023 10:54:40,30.40,77.8
10/20/2023 10:55:03,31.00,76.2
10/20/2023 10:55:26,30.90,76.4
10/20/2023 10:55:51,30.90,76.3
10/20/2023 10:56:14,30.90,77.1
10/20/2023 10:56:37,30.60,76.4
10/20/2023 10:57:00,30.90,78.6
10/20/2023 10:57:23,31.10,75.4
10/20/2023 10:57:46,30.80,76.2
10/20/2023 10:58:09,30.90,77.9
10/20/2023 10:58:32,30.60,76.4
10/20/2023 10:58:55,30.60,76.5
10/20/2023 10:59:18,31.00,77.6
10/20/2023 10:59:41,30.60,76.5
10/20/2023 11:00:04,30.60,77.4
10/20/2023 11:00:27,30.60,77
10/20/2023 11:00:50,31.20,76.5
10/20/2023 11:01:13,30.90,76.3
10/20/2023 11:01:36,31.20,75.3
10/20/2023 11:01:59,31.00,77.2
10/20/2023 11:02:23,30.90,76.9
10/20/2023 11:02:46,30.90,75.9
10/20/2023 11:03:09,30.60,77.7
10/20/2023 11:03:32,31.00,76.1
10/20/2023 11:03:55,30.60,76.5
10/20/2023 11:04:18,30.80,75.9
10/20/2023 11:04:41,30.90,76.4
10/20/2023 11:05:04,30.60,75.8
10/20/2023 11:05:27,31.00,75.8
10/20/2023 11:05:50,30.90,76.9
10/20/2023 11:06:13,30.90,76.1
10/20/2023 11:06:36,31.20,76.8
10/20/2023 11:06:59,30.90,75.4
10/20/2023 11:07:23,30.90,76.3
10/20/2023 11:07:46,31.00,76.3
10/20/2023 11:08:09,30.90,77
10/20/2023 11:08:32,30.90,77.4
10/20/2023 11:08:55,30.90,75.4
10/20/2023 11:09:18,31.00,76.2
10/20/2023 11:09:41,30.60,76.5
10/20/2023 11:10:04,31.20,76.3
10/20/2023 11:10:28,30.40,77.1
10/20/2023 11:10:51,30.90,75.4
10/20/2023 11:11:14,31.20,77.6
10/20/2023 11:11:37,31.20,77.6
10/20/2023 11:12:00,31.00,76.3
10/20/2023 11:12:23,31.00,76.2
10/20/2023 11:12:47,31.10,77.3
10/20/2023 11:13:10,31.20,76.1
10/20/2023 11:13:33,31.10,76.2
10/20/2023 11:13:56,31.00,75.3
10/20/2023 11:14:20,31.00,76
10/20/2023 11:14:43,31.00,76.6
10/20/2023 11:15:06,30.60,76.3
10/20/2023 11:15:29,31.10,76.3
10/20/2023 11:15:52,31.20,76.3
10/20/2023 11:16:15,31.00,74.5
10/20/2023 11:16:38,30.60,77.2
10/20/2023 11:17:01,31.00,76.3
10/20/2023 11:17:24,30.60,77.4
10/20/2023 11:17:47,31.00,77.6
10/20/2023 11:18:10,30.60,76.2
10/20/2023 11:18:33,31.20,76.1
10/20/2023 11:18:56,30.60,76.4
10/20/2023 11:19:19,31.00,76
10/20/2023 11:19:43,30.80,76.4
10/20/2023 11:20:06,30.90,76.1
10/20/2023 11:20:29,31.20,77.1
10/20/2023 11:20:52,31.00,76.1
10/20/2023 11:21:15,30.60,76.4
10/20/2023 11:21:38,31.10,76
10/20/2023 11:22:01,31.00,76
10/20/2023 11:22:25,31.20,76
10/20/2023 11:22:48,30.90,76.4
10/20/2023 11:23:11,31.20,72
10/20/2023 11:23:34,31.20,76.3
10/20/2023 11:23:57,31.20,77
10/20/2023 11:24:20,30.90,75.9
10/20/2023 11:24:43,31.20,74.9
10/20/2023 11:25:06,31.20,74.5
10/20/2023 11:25:29,31.40,77.3
10/20/2023 11:25:51,31.20,76.3
10/20/2023 11:26:15,31.70,75.6
10/20/2023 11:26:38,31.30,76.7
10/20/2023 11:27:01,31.50,81.1
10/20/2023 11:27:24,31.20,76.3
10/20/2023 11:27:47,31.20,76.3
10/20/2023 11:28:10,31.10,77.2
10/20/2023 11:28:33,30.90,77.7
10/20/2023 11:28:56,30.80,76.1
10/20/2023 11:29:19,31.30,76.2
10/20/2023 11:29:42,31.30,77.4
10/20/2023 11:30:05,31.30,77.2
10/20/2023 11:30:28,31.10,77.3
10/20/2023 11:30:51,31.20,75.1
10/20/2023 11:31:14,31.20,76.8
10/20/2023 11:31:37,31.20,76.8
10/20/2023 11:32:00,31.10,76.3
10/20/2023 11:32:23,31.30,77.3
10/20/2023 11:32:46,31.30,76.1
10/20/2023 11:33:09,30.90,77.4
10/20/2023 11:33:32,31.30,76.3
10/20/2023 11:33:55,31.50,76.6
10/20/2023 11:34:18,31.20,76.8
10/20/2023 11:34:41,30.90,76.5
10/20/2023 11:35:04,30.90,76.3
10/20/2023 11:35:27,31.30,76.1
10/20/2023 11:35:50,30.90,76.3
10/20/2023 11:36:13,31.20,78
10/20/2023 11:36:36,31.20,76.5
10/20/2023 11:36:59,31.20,78.1
10/20/2023 11:37:22,31.20,77.3
10/20/2023 11:37:45,31.20,77.3
10/20/2023 11:38:09,31.10,76.2
10/20/2023 11:38:32,31.20,76.2
10/20/2023 11:38:54,31.30,76.1
10/20/2023 11:39:17,31.20,76.2
10/20/2023 11:39:41,30.80,76.3
10/20/2023 11:40:04,30.90,78.1
10/20/2023 11:40:27,31.20,76.1
10/20/2023 11:40:53,31.20,77.5
10/20/2023 11:41:16,31.20,76.3
10/20/2023 11:41:39,31.30,75.7
10/20/2023 11:42:02,31.30,75.7
10/20/2023 11:42:26,31.30,76
10/20/2023 11:42:49,31.20,78.5
10/20/2023 11:43:12,31.30,75.9
10/20/2023 11:43:35,31.30,77.2
10/20/2023 11:43:58,31.30,75.7
10/20/2023 11:44:21,31.50,76.1
10/20/2023 11:44:44,31.50,75.1
10/20/2023 11:45:07,30.90,75.4
10/20/2023 11:45:30,31.50,75.1
10/20/2023 11:45:53,31.20,75.8
10/20/2023 11:46:16,31.70,75.6
10/20/2023 11:46:39,31.30,75.7
10/20/2023 11:47:02,31.70,77.2
10/20/2023 11:47:25,31.30,75.6
10/20/2023 11:47:48,31.30,76.7
10/20/2023 11:48:11,31.40,75.5
10/20/2023 11:48:34,31.10,76.6
10/20/2023 11:48:57,31.30,76.3
10/20/2023 11:49:20,31.30,75.2
10/20/2023 11:49:43,31.40,75.7
10/20/2023 11:50:05,31.30,75.2
10/20/2023 11:50:30,30.90,76.4
10/20/2023 11:50:53,31.20,75.3
10/20/2023 11:51:15,31.40,75
10/20/2023 11:51:38,31.40,75.1
10/20/2023 11:52:02,31.50,75.6
10/20/2023 11:52:25,31.50,74.7
10/20/2023 11:52:48,31.50,75.2
10/20/2023 11:53:11,31.50,74.3
10/20/2023 11:53:34,31.20,75.4
10/20/2023 11:53:56,31.70,74.3
10/20/2023 11:54:19,31.50,76
10/20/2023 11:54:43,31.70,75.8
10/20/2023 11:55:05,31.50,74.3
10/20/2023 11:55:29,31.40,74.4
10/20/2023 11:55:52,30.90,74.7
10/20/2023 11:56:15,31.00,74.3
10/20/2023 11:56:38,31.20,74.6
10/20/2023 11:57:01,30.90,74.7
10/20/2023 11:57:24,31.50,74.3
10/20/2023 11:57:47,31.70,74.4
10/20/2023 11:58:10,31.20,74.6
10/20/2023 11:58:33,31.50,74.4
10/20/2023 11:58:57,31.20,74.6
10/20/2023 11:59:20,31.50,74.3
10/20/2023 11:59:43,31.20,74.5
10/20/2023 12:00:08,31.50,75.1
10/20/2023 12:00:31,31.70,74.4
10/20/2023 12:00:54,31.70,74.4
10/20/2023 12:01:18,31.60,74.3
10/20/2023 12:01:41,31.70,74.4
10/20/2023 12:02:04,31.50,75.6
10/20/2023 12:02:28,31.60,74.7
10/20/2023 12:02:51,31.20,74.5
10/20/2023 12:03:14,31.70,74.7
10/20/2023 12:03:37,31.80,74.2
10/20/2023 12:04:00,31.80,75
10/20/2023 12:04:23,31.50,73.7
10/20/2023 12:04:47,31.70,74.7
10/20/2023 12:05:16,31.80,73.8
10/20/2023 12:06:11,31.70,74.3
10/20/2023 12:06:19,31.80,73.4
10/20/2023 12:06:29,31.40,72.8
10/20/2023 12:06:53,31.70,73.5
10/20/2023 12:07:15,31.80,72.6
10/20/2023 12:07:39,31.60,74.2
10/20/2023 12:08:02,31.70,74.6
10/20/2023 12:08:25,31.20,72.9
10/20/2023 12:08:48,31.80,73.8
10/20/2023 12:09:11,31.60,73.9
10/20/2023 12:09:34,31.70,73.1
10/20/2023 12:09:57,31.70,73.1
10/20/2023 12:10:20,31.90,73.1
10/20/2023 12:10:43,31.80,73.3
10/20/2023 12:11:06,31.80,73.3
10/20/2023 12:11:29,31.80,73.1
10/20/2023 12:11:53,32.00,72.9
10/20/2023 12:12:16,31.80,72.9
10/20/2023 12:12:39,31.80,73.1
10/20/2023 12:13:02,32.00,73.2
10/20/2023 12:13:25,31.90,73.3
10/20/2023 12:13:48,31.90,73.3
10/20/2023 12:14:12,31.40,73.2
10/20/2023 12:14:35,31.90,73
10/20/2023 12:14:58,31.90,73.1
10/20/2023 12:15:21,32.00,72.8
10/20/2023 12:15:44,31.90,71.9
10/20/2023 12:15:57,31.80,64.3
10/20/2023 12:16:20,31.90,72.6
10/20/2023 12:16:43,31.90,72.8
10/20/2023 12:17:06,31.90,74.2
10/20/2023 12:17:29,31.90,72.8
10/20/2023 12:17:52,31.90,72.7
10/20/2023 12:18:16,31.90,72.7
10/20/2023 12:18:39,31.90,72.7
10/20/2023 12:19:02,31.90,72.5
10/20/2023 12:19:25,31.90,72.6
10/20/2023 12:19:48,31.90,72.4
10/20/2023 12:20:11,31.90,72.5
10/20/2023 12:20:33,31.90,72.2
10/20/2023 12:20:56,31.90,72
10/20/2023 12:21:19,32.00,71.7
10/20/2023 12:21:42,32.00,71.9
10/20/2023 12:22:05,32.10,71.9
10/20/2023 12:22:29,32.20,71.6
10/20/2023 12:22:52,32.10,71.6
10/20/2023 12:23:15,32.10,71.3
10/20/2023 12:23:38,32.10,71.2
10/20/2023 12:24:01,32.20,71
10/20/2023 12:24:24,32.30,71
10/20/2023 12:24:47,32.30,70.9
10/20/2023 12:25:09,32.30,75.1
10/20/2023 12:25:33,32.30,71.1
10/20/2023 12:25:56,32.30,71.2
10/20/2023 12:26:19,32.30,71.1
10/20/2023 12:26:42,32.30,71.1
10/20/2023 12:27:05,32.30,71.1
10/20/2023 12:27:28,32.30,71
10/20/2023 12:27:54,32.40,71.1
10/20/2023 12:28:17,32.40,70.9
10/20/2023 12:28:40,32.30,70.9
10/20/2023 12:29:03,32.40,70.9
10/20/2023 12:29:26,32.40,70.9
10/20/2023 12:29:49,32.30,70.9
10/20/2023 12:30:12,32.30,70.7
10/20/2023 12:30:35,32.30,70.9
10/20/2023 12:30:59,32.30,71.1
10/20/2023 12:31:22,32.30,70.9
10/20/2023 12:31:45,32.30,71
10/20/2023 12:32:09,32.30,71.1
10/20/2023 12:32:32,32.30,71.1
10/20/2023 12:32:55,32.30,71.3
10/20/2023 12:33:18,32.30,71.2
10/20/2023 12:33:42,32.30,71.5
10/20/2023 12:34:05,32.30,71.5
10/20/2023 12:34:28,32.30,68.3
10/20/2023 12:34:51,32.40,71.1
10/20/2023 12:35:14,32.50,70.9
10/20/2023 12:35:37,32.50,70.8
10/20/2023 12:36:00,32.50,70.6
10/20/2023 12:36:23,32.50,70.1
10/20/2023 12:36:46,32.50,70.4
10/20/2023 12:37:09,32.50,70.2
10/20/2023 12:37:32,32.40,70.2
10/20/2023 12:37:55,32.50,69.9
10/20/2023 12:38:18,32.50,70
10/20/2023 12:38:41,32.50,70
10/20/2023 12:39:04,32.40,70
10/20/2023 12:39:27,32.20,69.4
10/20/2023 12:39:50,32.40,70
10/20/2023 12:40:13,32.50,70.4
10/20/2023 12:40:36,32.40,69.9
10/20/2023 12:40:59,32.50,69.8
10/20/2023 12:41:22,32.50,69.2
10/20/2023 12:41:45,32.60,69.8
10/20/2023 12:42:08,32.60,69.5
10/20/2023 12:42:31,32.60,68.9
10/20/2023 12:42:54,32.60,69.5
10/20/2023 12:43:17,32.60,68.9
10/20/2023 12:43:40,32.60,70
10/20/2023 12:44:03,32.60,69.8
10/20/2023 12:44:26,32.60,70
10/20/2023 12:44:49,32.60,70.2
10/20/2023 12:45:12,32.60,70.2
